ID,Date,Time,Product,Price_INR,Stock_In,Sold_Today,Weekly_Sold,Monthly_Sold,Stock_Left
62,2025-05-11,02:16:00,Soap,34.62,243,0,138,983,243
63,2025-05-15,20:23:00,Apples,141.1,189,79,164,863,110
64,2025-07-25,08:32:00,Cheese,92.85,229,41,149,882,188
65,2025-03-29,05:12:00,Tea Powder,120.61,214,22,184,786,192
66,2025-10-05,13:35:00,Tea Powder,133.01,175,36,94,554,139
67,2025-08-09,07:29:00,Bananas,55.57,129,65,191,1023,64
68,2025-02-28,05:18:00,Rice,63.79,191,11,225,1014,180
69,2025-08-01,05:14:00,Sugar,49.57,95,3,19,289,92
70,2025-02-20,01:29:00,Cooking Oil,165.6,119,49,180,609,70
71,2025-04-12,01:41:00,Sugar,48.24,74,54,115,315,20
72,2025-11-14,11:03:00,Dal,91.46,82,58,97,937,24
73,2025-12-29,22:35:00,Toothpaste,96.5,246,78,291,1047,168
74,2025-10-19,15:53:00,Dal,99.15,248,20,215,721,228
75,2025-06-27,06:48:00,Toothpaste,88.49,161,66,195,856,95
76,2025-07-07,19:28:00,Sugar,41.37,166,30,104,467,136
77,2025-02-25,08:08:00,Coffee,168.79,216,19,204,443,197
78,2025-10-11,13:26:00,Butter,57.0,258,53,73,304,205
79,2025-09-24,05:57:00,Shampoo,158.41,30,27,257,1060,3
80,2025-09-18,00:30:00,Bananas,49.58,200,38,235,654,162
81,2025-05-31,21:31:00,Shampoo,138.45,243,62,74,492,181
82,2025-10-04,08:46:00,Coffee,169.43,259,16,180,746,243
83,2025-09-27,07:37:00,Milk,54.14,33,5,174,632,28
84,2025-11-12,12:11:00,Bread,36.5,214,41,100,585,173
85,2025-08-19,17:48:00,Coffee,201.58,162,53,122,996,109
86,2025-11-18,09:01:00,Butter,63.06,46,22,84,769,24
87,2025-01-28,19:48:00,Butter,52.65,146,25,244,284,121
88,2025-04-15,08:15:00,Chicken,223.57,78,72,319,562,6
89,2025-06-25,06:49:00,Toothpaste,91.28,78,20,104,234,58
90,2025-01-18,20:59:00,Bananas,53.79,212,50,296,1048,162
91,2025-02-22,05:37:00,Eggs,7.51,144,13,196,1007,131
92,2025-03-24,23:50:00,Tea Powder,137.52,41,22,163,621,19
93,2025-02-17,09:32:00,Biscuits,26.55,26,13,228,749,13
94,2025-10-24,06:23:00,Cheese,100.6,255,19,135,335,236
95,2025-07-04,17:39:00,Dal,96.98,295,61,185,651,234
96,2025-07-03,13:20:00,Bananas,61.21,64,35,265,746,29
97,2025-11-14,13:36:00,Sugar,47.37,214,43,55,581,171
98,2025-05-05,11:31:00,Coffee,171.55,152,43,119,749,109
99,2025-01-08,06:33:00,Salt,25.01,63,30,219,655,33
100,2025-06-14,09:44:00,Cooking Oil,168.14,271,57,264,301,214
101,2025-07-21,04:14:00,Butter,58.06,144,39,213,828,105
102,2025-11-20,09:35:00,Biscuits,25.82,237,70,159,539,167
103,2025-07-05,06:19:00,Toothpaste,88.58,81,24,109,251,57
104,2025-05-07,17:12:00,Apples,133.57,267,35,225,848,232
105,2025-07-13,12:06:00,Dal,97.52,171,29,126,329,142
106,2025-01-10,23:45:00,Tea Powder,124.02,160,5,23,609,155
107,2025-03-28,12:40:00,Tea Powder,134.05,271,13,241,273,258
108,2025-07-14,10:30:00,Bananas,56.08,194,23,41,319,171
109,2025-03-20,05:52:00,Cooking Oil,151.2,271,9,161,825,262
110,2025-04-14,21:09:00,Curd,38.6,175,10,78,219,165
111,2025-10-12,10:38:00,Apples,146.86,135,66,168,649,69
112,2025-07-23,07:55:00,Toothpaste,96.34,239,39,189,844,200
113,2025-03-10,01:48:00,Curd,33.32,128,33,207,310,95
114,2025-06-14,01:11:00,Rice,64.36,100,0,109,590,100
115,2025-11-18,03:18:00,Chicken,217.96,167,36,220,1120,131
116,2025-02-18,22:43:00,Toothpaste,88.17,155,80,235,932,75
117,2025-10-18,13:07:00,Eggs,7.25,96,34,250,415,62
118,2025-02-11,01:10:00,Butter,63.69,167,56,92,591,111
119,2025-10-03,02:17:00,Tea Powder,123.01,272,56,81,713,216
120,2025-10-23,06:47:00,Curd,34.32,148,3,31,285,145
121,2025-01-15,11:48:00,Bananas,58.74,157,73,88,889,84
122,2025-11-18,12:33:00,Rice,65.9,162,23,177,643,139
123,2025-03-04,14:30:00,Cooking Oil,162.85,190,41,217,344,149
124,2025-08-14,11:26:00,Rice,66.55,167,51,264,1062,116
125,2025-01-26,09:29:00,Apples,129.08,149,41,75,886,108
126,2025-12-18,15:52:00,Soap,43.59,297,59,169,244,238
127,2025-12-21,06:23:00,Eggs,7.39,275,80,198,996,195
128,2025-05-20,07:17:00,Curd,36.31,167,56,286,1021,111
129,2025-03-25,05:01:00,Cooking Oil,188.64,142,20,104,688,122
130,2025-10-06,20:05:00,Milk,49.72,78,59,306,446,19
131,2025-12-07,13:59:00,Bread,43.17,280,34,145,1019,246
132,2025-11-19,16:15:00,Cooking Oil,167.34,94,49,102,735,45
133,2025-04-04,12:55:00,Dal,80.74,232,43,287,1113,189
134,2025-07-02,17:52:00,Dal,79.26,172,75,228,923,97
135,2025-04-12,18:28:00,Cooking Oil,170.72,196,42,188,989,154
136,2025-09-15,20:29:00,Apples,158.65,116,30,181,593,86
137,2025-10-08,18:02:00,Sugar,44.08,262,48,151,850,214
138,2025-12-05,11:02:00,Bread,37.26,189,12,240,1125,177
139,2025-03-10,09:33:00,Toothpaste,103.74,27,23,64,503,4
140,2025-02-21,09:30:00,Bread,43.82,155,43,207,936,112
141,2025-02-25,03:54:00,Soap,37.32,293,48,297,641,245
142,2025-01-25,20:39:00,Cooking Oil,151.32,167,29,225,337,138
143,2025-03-09,12:48:00,Shampoo,153.47,71,56,103,833,15
144,2025-01-21,02:02:00,Tea Powder,117.73,48,18,114,517,30
145,2025-04-10,17:15:00,Shampoo,149.75,112,21,70,170,91
146,2025-09-19,11:39:00,Chicken,256.99,274,74,115,372,200
147,2025-06-23,17:29:00,Toothpaste,88.67,24,14,249,563,10
148,2025-04-19,04:04:00,Apples,141.46,196,75,156,830,121
149,2025-06-21,01:29:00,Shampoo,161.14,121,49,272,786,72
150,2025-06-12,06:24:00,Cheese,99.08,171,37,47,916,134
151,2025-07-07,17:00:00,Soap,39.58,45,38,233,761,7
152,2025-06-07,10:38:00,Tea Powder,132.06,132,24,187,463,108
153,2025-03-08,15:57:00,Bread,42.27,40,19,225,696,21
154,2025-09-07,09:46:00,Curd,32.65,171,41,237,682,130
155,2025-05-18,09:08:00,Rice,67.99,207,67,200,499,140
156,2025-06-25,18:58:00,Rice,68.58,266,37,233,599,229
157,2025-11-17,01:04:00,Cheese,88.84,135,50,271,1114,85
158,2025-09-08,00:05:00,Apples,153.67,27,8,150,296,19
159,2025-09-09,22:43:00,Toothpaste,100.03,154,74,176,1038,80
160,2025-03-16,07:43:00,Biscuits,23.96,32,20,259,903,12
161,2025-02-13,11:40:00,Sugar,49.77,174,52,86,249,122
162,2025-01-26,17:19:00,Curd,40.21,79,12,77,647,67
163,2025-09-23,15:29:00,Bread,39.71,296,53,208,988,243
164,2025-10-11,13:41:00,Bread,36.99,270,78,187,493,192
165,2025-09-11,06:13:00,Curd,35.38,140,46,76,798,94
166,2025-09-03,04:03:00,Biscuits,24.99,117,15,262,1150,102
167,2025-03-04,21:42:00,Toothpaste,87.68,30,1,207,568,29
168,2025-03-28,07:50:00,Sugar,46.85,55,53,253,840,2
169,2025-05-28,18:52:00,Eggs,7.82,188,18,224,854,170
170,2025-07-09,14:54:00,Milk,59.59,86,69,138,975,17
171,2025-03-17,09:42:00,Rice,69.23,87,1,97,925,86
172,2025-08-10,08:01:00,Sugar,42.46,46,8,202,653,38
173,2025-03-19,22:47:00,Dal,80.6,249,46,182,809,203
174,2025-11-05,21:32:00,Cheese,90.76,42,42,180,508,0
175,2025-01-22,14:03:00,Toothpaste,105.77,225,54,234,364,171
176,2025-10-31,03:04:00,Cooking Oil,185.59,184,77,119,206,107
177,2025-07-08,01:39:00,Bread,42.33,300,41,143,774,259
178,2025-07-21,15:29:00,Dal,90.32,240,12,220,958,228
179,2025-05-28,02:27:00,Cheese,96.22,136,52,143,1010,84
180,2025-09-30,12:26:00,Toothpaste,99.58,180,54,139,840,126
181,2025-09-13,20:09:00,Salt,23.58,262,8,36,907,254
182,2025-03-05,23:27:00,Butter,53.6,210,16,163,244,194
183,2025-08-14,08:42:00,Bananas,51.18,201,54,281,1039,147
184,2025-07-16,16:38:00,Curd,34.23,73,73,207,444,0
185,2025-11-26,12:14:00,Bread,44.47,199,71,170,307,128
186,2025-06-04,17:51:00,Salt,22.16,33,17,29,233,16
187,2025-07-31,06:58:00,Salt,21.67,23,5,232,398,18
188,2025-10-01,22:04:00,Bananas,51.45,35,5,201,764,30
189,2025-09-15,03:26:00,Eggs,7.09,100,47,131,889,53
190,2025-02-28,07:56:00,Coffee,164.37,100,79,96,806,21
191,2025-07-06,02:28:00,Butter,61.8,268,77,195,639,191
192,2025-05-28,11:48:00,Salt,22.62,196,55,88,398,141
193,2025-11-29,12:33:00,Bananas,58.67,43,14,120,753,29
194,2025-01-06,13:13:00,Curd,34.14,128,17,217,498,111
195,2025-08-13,07:07:00,Tea Powder,108.23,240,22,60,469,218
196,2025-06-07,10:32:00,Apples,145.56,201,9,115,894,192
197,2025-10-26,03:01:00,Curd,35.52,59,55,140,749,4
198,2025-10-04,10:45:00,Shampoo,153.71,168,14,122,163,154
199,2025-04-28,15:51:00,Coffee,204.64,255,46,73,540,209
200,2025-06-16,10:27:00,Cheese,99.49,288,10,116,453,278
201,2025-06-01,14:21:00,Coffee,197.06,59,32,199,335,27
202,2025-12-15,11:12:00,Dal,99.13,198,44,235,1093,154
203,2025-06-11,15:06:00,Bread,37.46,121,22,181,357,99
204,2025-05-02,06:49:00,Butter,61.31,257,72,271,884,185
205,2025-08-09,23:55:00,Toothpaste,105.13,181,19,136,225,162
206,2025-10-30,05:40:00,Cooking Oil,160.99,160,75,94,474,85
207,2025-02-20,23:19:00,Dal,89.36,39,3,102,973,36
208,2025-02-22,17:41:00,Tea Powder,133.93,66,64,167,660,2
209,2025-01-29,08:28:00,Bananas,62.0,116,41,200,707,75
210,2025-04-14,07:03:00,Dal,89.11,195,10,144,825,185
211,2025-01-28,01:15:00,Rice,66.77,244,67,205,849,177
212,2025-09-06,18:23:00,Rice,70.03,218,52,255,621,166
213,2025-02-06,01:50:00,Chicken,253.85,191,8,97,213,183
214,2025-09-22,05:18:00,Apples,134.82,96,42,67,683,54
215,2025-08-28,03:19:00,Bread,45.68,220,16,173,918,204
216,2025-07-31,16:35:00,Butter,57.66,188,16,192,931,172
217,2025-03-06,03:41:00,Dal,93.95,280,46,55,446,234
218,2025-05-04,09:13:00,Tea Powder,118.25,268,24,86,246,244
219,2025-02-23,00:18:00,Bread,44.44,71,64,266,838,7
220,2025-01-27,02:42:00,Dal,86.61,87,76,177,354,11
221,2025-05-04,18:53:00,Rice,66.54,104,56,72,512,48
222,2025-06-12,11:28:00,Biscuits,26.32,249,29,170,434,220
223,2025-11-17,12:57:00,Tea Powder,133.05,208,73,190,682,135
224,2025-09-19,00:32:00,Tea Powder,123.82,102,25,235,874,77
225,2025-06-21,00:03:00,Bread,42.41,210,70,314,439,140
226,2025-03-27,10:18:00,Dal,81.05,102,34,154,699,68
227,2025-10-26,23:05:00,Bread,45.46,133,57,288,665,76
228,2025-10-11,13:03:00,Milk,51.95,211,30,133,236,181
229,2025-06-03,14:01:00,Biscuits,24.49,70,42,249,418,28
230,2025-01-27,11:18:00,Bread,45.17,261,17,216,958,244
231,2025-11-03,13:39:00,Cooking Oil,148.72,60,1,71,311,59
232,2025-12-27,15:27:00,Bread,37.11,167,30,112,256,137
233,2025-06-13,02:26:00,Curd,37.09,254,8,41,917,246
234,2025-01-12,13:40:00,Cooking Oil,169.76,143,18,97,556,125
235,2025-08-30,04:15:00,Milk,54.22,115,10,149,538,105
236,2025-12-26,10:34:00,Butter,59.56,279,70,80,499,209
237,2025-01-31,01:40:00,Cooking Oil,164.46,211,32,228,264,179
238,2025-02-16,10:22:00,Biscuits,24.01,73,42,81,146,31
239,2025-08-20,10:52:00,Biscuits,26.52,257,61,227,433,196
240,2025-02-13,09:45:00,Bread,43.76,254,4,84,310,250
241,2025-05-17,12:56:00,Curd,31.87,178,65,171,1025,113
242,2025-11-20,12:16:00,Apples,127.28,117,36,132,951,81
243,2025-08-15,22:17:00,Curd,32.59,208,55,287,716,153
244,2025-09-22,06:21:00,Toothpaste,105.2,274,63,162,998,211
245,2025-07-02,09:51:00,Dal,81.02,237,10,125,761,227
246,2025-07-20,21:20:00,Rice,57.39,187,37,120,596,150
247,2025-10-19,05:10:00,Chicken,257.39,199,57,72,836,142
248,2025-10-25,06:17:00,Biscuits,26.5,49,4,180,852,45
249,2025-09-06,08:32:00,Soap,41.81,101,3,44,933,98
250,2025-10-27,11:02:00,Chicken,223.57,140,46,143,555,94
251,2025-01-23,10:38:00,Bananas,51.61,250,47,147,621,203
252,2025-04-05,07:33:00,Butter,57.52,180,35,103,239,145
253,2025-05-08,08:31:00,Milk,53.53,80,33,236,522,47
254,2025-05-27,19:39:00,Toothpaste,89.37,271,25,61,219,246
255,2025-11-05,22:11:00,Butter,65.23,247,11,223,941,236
256,2025-08-26,12:45:00,Coffee,164.92,297,37,270,597,260
257,2025-04-30,04:50:00,Rice,61.4,134,15,71,902,119
258,2025-06-11,22:50:00,Bread,40.94,204,70,221,618,134
259,2025-03-30,22:39:00,Toothpaste,103.14,53,19,125,879,34
260,2025-12-26,04:26:00,Cooking Oil,180.23,57,8,94,771,49
261,2025-11-04,12:29:00,Butter,62.06,196,16,245,1113,180
262,2025-05-05,13:49:00,Apples,159.82,241,64,302,378,177
263,2025-12-21,00:09:00,Cheese,92.72,102,41,285,1031,61
264,2025-08-25,13:33:00,Sugar,50.57,60,16,71,741,44
265,2025-07-07,16:08:00,Apples,147.88,293,11,144,820,282
266,2025-04-16,14:10:00,Rice,66.01,192,72,87,952,120
267,2025-02-25,18:02:00,Milk,59.13,155,26,227,832,129
268,2025-01-22,00:31:00,Shampoo,162.73,299,37,206,535,262
269,2025-06-17,12:51:00,Cooking Oil,181.8,227,38,159,253,189
270,2025-04-19,05:28:00,Curd,35.14,257,26,118,759,231
271,2025-08-02,17:55:00,Bread,43.18,196,51,89,887,145
272,2025-12-18,21:35:00,Biscuits,23.16,143,59,95,388,84
273,2025-06-19,13:09:00,Toothpaste,85.03,168,49,275,925,119
274,2025-06-19,19:55:00,Shampoo,163.21,187,73,262,602,114
275,2025-04-20,02:31:00,Eggs,8.04,259,63,293,628,196
276,2025-01-17,03:05:00,Cooking Oil,187.49,278,58,124,364,220
277,2025-08-30,05:03:00,Bananas,50.19,273,76,306,1189,197
278,2025-07-15,09:34:00,Cooking Oil,148.84,75,55,94,384,20
279,2025-10-03,14:23:00,Biscuits,22.78,46,36,184,403,10
280,2025-07-17,08:04:00,Biscuits,24.91,250,70,146,1011,180
281,2025-03-23,10:08:00,Chicken,274.5,221,47,255,622,174
282,2025-09-07,22:48:00,Apples,131.05,280,51,184,245,229
283,2025-01-27,21:08:00,Curd,37.74,262,66,187,359,196
284,2025-12-19,06:08:00,Chicken,235.68,183,20,125,776,163
285,2025-08-18,23:32:00,Tea Powder,132.85,292,62,248,844,230
286,2025-11-21,12:52:00,Tea Powder,108.5,189,14,125,742,175
287,2025-01-19,12:38:00,Tea Powder,122.24,136,6,160,671,130
288,2025-12-25,05:40:00,Rice,66.98,214,18,233,950,196
289,2025-01-22,21:36:00,Sugar,51.17,76,24,33,504,52
290,2025-10-14,05:09:00,Coffee,180.58,124,52,185,998,72
291,2025-11-19,06:55:00,Chicken,266.9,51,45,85,636,6
292,2025-08-11,05:42:00,Eggs,7.14,212,40,289,486,172
293,2025-12-31,06:21:00,Toothpaste,95.36,155,78,206,422,77
294,2025-07-10,19:35:00,Sugar,43.86,172,36,221,453,136
295,2025-08-05,18:30:00,Cooking Oil,162.89,160,36,72,679,124
296,2025-09-17,12:57:00,Apples,160.31,196,18,97,160,178
297,2025-02-24,06:22:00,Tea Powder,135.72,151,61,120,346,90
298,2025-07-05,10:59:00,Apples,145.67,159,17,49,699,142
299,2025-06-13,16:15:00,Bananas,50.2,291,28,196,454,263
300,2025-03-10,17:26:00,Curd,34.39,261,12,191,1000,249
301,2025-01-04,20:35:00,Bread,45.78,100,52,224,731,48
302,2025-05-17,11:48:00,Cooking Oil,188.26,184,36,206,286,148
303,2025-06-08,20:34:00,Butter,62.91,39,11,122,999,28
304,2025-01-26,03:53:00,Rice,61.95,273,23,267,1053,250
305,2025-01-26,21:00:00,Tea Powder,116.95,74,42,119,604,32
306,2025-12-25,06:31:00,Apples,157.12,88,64,188,487,24
307,2025-03-19,05:21:00,Eggs,6.58,254,32,220,430,222
308,2025-08-19,11:50:00,Milk,50.64,118,22,183,1079,96
309,2025-10-20,07:32:00,Soap,37.32,225,12,64,227,213
310,2025-08-10,05:59:00,Cooking Oil,158.73,153,49,114,591,104
311,2025-08-14,08:19:00,Salt,23.0,25,8,180,568,17
312,2025-02-12,17:42:00,Sugar,41.83,177,20,128,850,157
313,2025-08-01,15:44:00,Dal,81.78,171,47,209,455,124
314,2025-04-02,12:30:00,Sugar,42.22,211,53,237,819,158
315,2025-05-30,10:48:00,Cooking Oil,158.71,61,33,152,712,28
316,2025-02-23,15:58:00,Biscuits,26.03,51,35,271,808,16
317,2025-04-13,15:10:00,Eggs,6.87,286,56,90,806,230
318,2025-12-01,00:05:00,Eggs,7.87,248,7,128,283,241
319,2025-10-11,22:29:00,Dal,91.61,256,39,229,271,217
320,2025-06-24,01:52:00,Soap,34.23,131,74,97,163,57
321,2025-08-24,12:44:00,Shampoo,132.81,50,4,248,751,46
322,2025-07-16,07:26:00,Curd,33.07,89,53,153,564,36
323,2025-09-16,00:24:00,Toothpaste,84.65,296,17,189,1089,279
324,2025-03-23,07:11:00,Biscuits,28.71,221,67,104,869,154
325,2025-01-03,16:48:00,Sugar,40.76,172,59,236,992,113
326,2025-10-17,20:34:00,Apples,139.27,137,31,153,527,106
327,2025-07-08,12:12:00,Bread,45.37,77,4,216,912,73
328,2025-01-12,00:15:00,Shampoo,137.97,71,4,123,755,67
329,2025-06-17,09:47:00,Curd,31.89,244,29,172,414,215
330,2025-04-06,23:32:00,Curd,40.19,139,73,159,770,66
331,2025-08-08,05:15:00,Chicken,234.11,93,66,127,570,27
332,2025-07-08,04:03:00,Tea Powder,124.7,109,80,258,715,29
333,2025-12-05,16:03:00,Apples,160.03,215,67,153,886,148
334,2025-10-07,00:09:00,Shampoo,141.37,114,68,194,460,46
335,2025-07-25,15:54:00,Sugar,48.46,257,7,155,597,250
336,2025-12-29,03:08:00,Shampoo,144.58,150,26,115,797,124
337,2025-11-04,09:54:00,Butter,57.58,294,24,42,336,270
338,2025-01-28,07:55:00,Soap,34.89,131,61,119,479,70
339,2025-01-11,19:13:00,Tea Powder,136.11,80,61,300,568,19
340,2025-05-20,22:25:00,Chicken,270.91,184,36,138,635,148
341,2025-09-03,14:19:00,Apples,135.15,282,63,187,307,219
342,2025-08-07,22:58:00,Cooking Oil,156.88,180,52,68,664,128
343,2025-04-10,22:01:00,Sugar,43.43,233,37,81,301,196
344,2025-06-07,08:24:00,Coffee,187.64,145,63,208,898,82
345,2025-06-26,00:48:00,Coffee,198.97,271,58,106,876,213
346,2025-04-26,21:08:00,Biscuits,27.0,270,23,262,837,247
347,2025-12-25,00:02:00,Curd,38.84,58,52,228,297,6
348,2025-10-09,20:08:00,Milk,57.75,138,8,194,368,130
349,2025-05-30,15:32:00,Milk,52.73,50,39,207,909,11
350,2025-11-27,04:42:00,Chicken,245.27,23,17,163,604,6
351,2025-01-12,18:33:00,Milk,56.19,294,36,45,579,258
352,2025-05-03,17:06:00,Shampoo,163.78,288,19,85,301,269
353,2025-12-26,17:16:00,Chicken,264.91,156,50,75,477,106
354,2025-11-10,16:36:00,Soap,36.51,135,38,218,1085,97
355,2025-01-22,23:05:00,Butter,58.08,213,70,196,273,143
356,2025-04-28,07:05:00,Milk,53.3,242,42,191,1089,200
357,2025-12-27,21:58:00,Cheese,86.51,128,72,198,495,56
358,2025-02-21,02:43:00,Curd,39.6,298,72,245,298,226
359,2025-08-04,00:01:00,Rice,70.7,93,50,292,390,43
360,2025-04-22,05:36:00,Tea Powder,115.21,219,69,158,571,150
361,2025-02-23,20:32:00,Bread,43.45,197,6,36,503,191
362,2025-02-22,05:21:00,Sugar,47.31,223,41,53,722,182
363,2025-11-04,21:31:00,Salt,21.05,212,55,107,823,157
364,2025-09-17,19:05:00,Bananas,60.12,171,31,218,313,140
365,2025-07-03,06:09:00,Butter,57.71,98,49,135,524,49
366,2025-03-04,19:00:00,Cheese,107.9,247,46,245,541,201
367,2025-04-01,18:05:00,Cheese,89.95,249,71,218,762,178
368,2025-03-12,20:01:00,Shampoo,133.75,67,41,267,681,26
369,2025-07-19,13:26:00,Milk,51.84,63,31,182,735,32
370,2025-09-18,05:10:00,Rice,57.95,174,34,165,334,140
371,2025-04-25,11:27:00,Butter,56.2,173,61,266,364,112
372,2025-06-22,03:15:00,Biscuits,27.01,273,76,238,458,197
373,2025-03-15,08:08:00,Toothpaste,89.81,222,42,262,917,180
374,2025-08-14,07:28:00,Soap,37.38,89,38,125,762,51
375,2025-11-24,08:20:00,Eggs,6.61,223,40,119,891,183
376,2025-06-15,19:20:00,Cooking Oil,164.01,221,46,80,677,175
377,2025-05-04,03:43:00,Eggs,7.64,33,29,275,1020,4
378,2025-10-27,15:51:00,Eggs,6.81,55,52,274,1108,3
379,2025-12-08,04:08:00,Shampoo,153.46,143,32,205,382,111
380,2025-09-15,16:04:00,Shampoo,146.78,265,74,181,748,191
381,2025-10-13,21:34:00,Dal,80.01,204,68,225,898,136
382,2025-03-16,23:49:00,Butter,55.8,201,21,191,838,180
383,2025-10-01,03:48:00,Curd,34.4,240,13,20,140,227
384,2025-06-01,21:32:00,Salt,23.91,133,57,157,577,76
385,2025-12-08,23:09:00,Toothpaste,90.73,32,30,61,383,2
386,2025-02-28,22:07:00,Shampoo,160.64,92,44,128,499,48
387,2025-05-22,13:33:00,Toothpaste,93.91,263,12,129,888,251
388,2025-08-07,01:04:00,Toothpaste,89.71,78,2,224,595,76
389,2025-04-23,12:59:00,Cheese,108.87,144,66,115,700,78
390,2025-08-15,06:35:00,Rice,62.41,256,29,238,672,227
391,2025-05-08,13:40:00,Rice,65.99,222,3,196,844,219
392,2025-11-04,05:37:00,Eggs,7.05,22,22,81,311,0
393,2025-02-13,01:36:00,Salt,20.36,294,23,121,474,271
394,2025-11-09,16:07:00,Eggs,6.76,270,67,235,575,203
395,2025-09-23,15:39:00,Chicken,239.55,78,44,139,1024,34
396,2025-04-29,02:52:00,Toothpaste,98.29,172,78,234,340,94
397,2025-08-03,03:07:00,Bread,38.39,79,23,123,853,56
398,2025-12-16,01:24:00,Bread,40.18,90,73,176,629,17
399,2025-11-29,13:40:00,Rice,64.13,108,71,118,639,37
400,2025-04-07,02:11:00,Tea Powder,117.44,250,79,97,484,171
401,2025-11-28,03:08:00,Milk,49.34,216,71,205,893,145
402,2025-10-07,15:43:00,Cooking Oil,168.78,247,62,109,213,185
403,2025-01-22,09:50:00,Bananas,59.96,169,4,79,329,165
404,2025-07-17,09:10:00,Apples,153.33,273,70,205,340,203
405,2025-03-20,07:17:00,Bananas,60.16,207,69,284,1078,138
406,2025-10-29,15:34:00,Curd,33.41,237,13,206,1075,224
